"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1241","Navigation from login page to registration page","LMS system","Thu Apr 23 19:56:01 UTC 2026","passed","Thu Apr 23 19:56:02 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1870","User login with wrong email or password","LMS system","Thu Apr 23 19:55:57 UTC 2026","passed","Thu Apr 23 19:55:58 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1568","Check displaying of dashboard page","LMS system","Thu Apr 23 19:56:08 UTC 2026","passed","Thu Apr 23 19:56:10 UTC 2026","DASHBOARD","DASHBOARD","",""
"","1672","Registration with correct email, username and password","LMS system","Thu Apr 23 19:56:02 UTC 2026","passed","Thu Apr 23 19:56:04 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","1476","User login with wrong email or password","LMS system","Thu Apr 23 19:56:00 UTC 2026","passed","Thu Apr 23 19:56:02 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1716","User login with wrong email or password","LMS system","Thu Apr 23 19:55:59 UTC 2026","passed","Thu Apr 23 19:56:01 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1357","Check displaying of empty courses list","LMS system","Thu Apr 23 19:56:04 UTC 2026","passed","Thu Apr 23 19:56:05 UTC 2026","COURSES","COURSES","",""
"","2987","test_edit_course[chromium]","LMS system","Thu Apr 23 19:56:06 UTC 2026","passed","Thu Apr 23 19:56:09 UTC 2026","COURSES","COURSES","",""
"","3218","User login with correct email and password","LMS system","Thu Apr 23 19:55:57 UTC 2026","passed","Thu Apr 23 19:56:00 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","2683","Create course","LMS system","Thu Apr 23 19:56:05 UTC 2026","passed","Thu Apr 23 19:56:08 UTC 2026","COURSES","COURSES","",""
