"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2578","Create course","LMS system","Thu Apr 23 20:19:36 UTC 2026","passed","Thu Apr 23 20:19:39 UTC 2026","COURSES","COURSES","",""
"","2981","test_edit_course[chromium]","LMS system","Thu Apr 23 20:19:37 UTC 2026","passed","Thu Apr 23 20:19:40 UTC 2026","COURSES","COURSES","",""
"","1396","Check displaying of empty courses list","LMS system","Thu Apr 23 20:19:35 UTC 2026","passed","Thu Apr 23 20:19:36 UTC 2026","COURSES","COURSES","",""
"","1728","User login with wrong email or password","LMS system","Thu Apr 23 20:19:27 UTC 2026","passed","Thu Apr 23 20:19:29 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1333","Navigation from login page to registration page","LMS system","Thu Apr 23 20:19:32 UTC 2026","passed","Thu Apr 23 20:19:33 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1744","User login with wrong email or password","LMS system","Thu Apr 23 20:19:30 UTC 2026","passed","Thu Apr 23 20:19:31 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1574","User login with wrong email or password","LMS system","Thu Apr 23 20:19:31 UTC 2026","passed","Thu Apr 23 20:19:33 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","3265","User login with correct email and password","LMS system","Thu Apr 23 20:19:27 UTC 2026","passed","Thu Apr 23 20:19:31 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1848","Registration with correct email, username and password","LMS system","Thu Apr 23 20:19:33 UTC 2026","passed","Thu Apr 23 20:19:35 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","1541","Check displaying of dashboard page","LMS system","Thu Apr 23 20:19:39 UTC 2026","passed","Thu Apr 23 20:19:41 UTC 2026","DASHBOARD","DASHBOARD","",""
