"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2832","test_edit_course[chromium]","LMS system","Tue May 26 14:26:01 UTC 2026","passed","Tue May 26 14:26:04 UTC 2026","COURSES","COURSES","",""
"","1580","User login with wrong email or password","LMS system","Tue May 26 14:25:55 UTC 2026","passed","Tue May 26 14:25:57 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1499","Registration with correct email, username and password","LMS system","Tue May 26 14:25:58 UTC 2026","passed","Tue May 26 14:25:59 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","2849","User login with correct email and password","LMS system","Tue May 26 14:25:53 UTC 2026","passed","Tue May 26 14:25:55 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","2272","Create course","LMS system","Tue May 26 14:26:01 UTC 2026","passed","Tue May 26 14:26:03 UTC 2026","COURSES","COURSES","",""
"","1421","User login with wrong email or password","LMS system","Tue May 26 14:25:56 UTC 2026","passed","Tue May 26 14:25:57 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1707","User login with wrong email or password","LMS system","Tue May 26 14:25:53 UTC 2026","passed","Tue May 26 14:25:54 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1681","Check displaying of dashboard page","LMS system","Tue May 26 14:26:03 UTC 2026","passed","Tue May 26 14:26:05 UTC 2026","DASHBOARD","DASHBOARD","",""
"","1267","Check displaying of empty courses list","LMS system","Tue May 26 14:26:00 UTC 2026","passed","Tue May 26 14:26:01 UTC 2026","COURSES","COURSES","",""
"","1381","Navigation from login page to registration page","LMS system","Tue May 26 14:25:57 UTC 2026","passed","Tue May 26 14:25:58 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
