"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3075","test_edit_course[chromium]","LMS system","Thu Apr 23 20:08:21 UTC 2026","passed","Thu Apr 23 20:08:24 UTC 2026","COURSES","COURSES","",""
"","1690","User login with wrong email or password","LMS system","Thu Apr 23 20:08:14 UTC 2026","passed","Thu Apr 23 20:08:16 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","3016","User login with correct email and password","LMS system","Thu Apr 23 20:08:12 UTC 2026","passed","Thu Apr 23 20:08:15 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1715","Check displaying of dashboard page","LMS system","Thu Apr 23 20:08:23 UTC 2026","passed","Thu Apr 23 20:08:25 UTC 2026","DASHBOARD","DASHBOARD","",""
"","1564","User login with wrong email or password","LMS system","Thu Apr 23 20:08:12 UTC 2026","passed","Thu Apr 23 20:08:14 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1672","Registration with correct email, username and password","LMS system","Thu Apr 23 20:08:17 UTC 2026","passed","Thu Apr 23 20:08:19 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","2510","Create course","LMS system","Thu Apr 23 20:08:20 UTC 2026","passed","Thu Apr 23 20:08:23 UTC 2026","COURSES","COURSES","",""
"","1338","Navigation from login page to registration page","LMS system","Thu Apr 23 20:08:16 UTC 2026","passed","Thu Apr 23 20:08:17 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","1340","Check displaying of empty courses list","LMS system","Thu Apr 23 20:08:19 UTC 2026","passed","Thu Apr 23 20:08:20 UTC 2026","COURSES","COURSES","",""
"","1434","User login with wrong email or password","LMS system","Thu Apr 23 20:08:15 UTC 2026","passed","Thu Apr 23 20:08:17 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
